UKPRN,Univ,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,UKPRN2,4*,3*,2*,1*,outputGPA,UKPRN3
10007799,Newcastle University,0.0172876804,0.0644404107,0.1226713767,0.0052407775,0.0040713407,0.0323236973,0.0031740346,0.0045348618,0.0275358979,0.0095718929,0.0010266987,0.0039138358,0.0184259193,0.0554478377,0.0132966157,0.0152096083,0.0209002707,0.0254706396,0.0137262627,0.0110378895,0.0062627481,0.0239609894,0.0632498540,0.0204385680,0.0170127721,0.0338438248,0.0447440340,0.0035063408,0.0081261111,0.1385137538,0.0035564875,0.1335773349,0.0111603518,0.0081022501,0.0146370310,10007799,21.7,33.4,39.1,5.8,2.71,10007799
10001143,Canterbury Christ Church University,0.0138786588,0.0838359556,0.0522026275,0.0132484486,0.0079472198,0.0055776346,0.0045790249,0.0080828415,0.0142176981,0.0087510966,0.0086929068,0.0043040117,0.0122582025,0.0567691316,0.0403659368,0.0558863651,0.0280384815,0.0238109053,0.0023511272,0.0126121071,0.0124179738,0.0057734180,0.0575542056,0.0114558782,0.0328163862,0.0320761205,0.0278863038,0.0156116378,0.0106979551,0.1214938317,0.0027485603,0.1886605835,0.0098177723,0.0076233234,0.0059556679,10001143,7.1,37.8,35.7,19.4,2.326,10001143
10007796,University of Leicester,0.0342531876,0.0345761267,0.0929327299,0.0166962076,0.0047713631,0.0017165984,0.0126665739,0.0146995326,0.0084995960,0.0024648242,0.0030484972,0.0425827261,0.0511935716,0.0490856995,0.0160495828,0.0088920382,0.0354060173,0.0208195823,0.0005955382,0.0088120353,0.0021225605,0.0329112502,0.0690887009,0.0108101666,0.0043560191,0.0411068643,0.0389152554,0.0180004358,0.0055399536,0.1471075910,0.0103922680,0.1451271108,0.0016243407,0.0072286518,0.0059068030,10007796,18.3,37.6,34.4,9.7,2.645,10007796
10007146,University of Greenwich,0.0193617967,0.1379694617,0.0500930240,0.0039504789,0.0042577747,0.0019925858,0.0001789102,0.0247568649,0.0091943149,0.0102101254,0.0003826511,0.0044432987,0.0095656948,0.1053331667,0.0267137468,0.0109076537,0.0468867089,0.0208402740,0.0014014574,0.0069693402,0.0052167839,0.0148745524,0.0511738075,0.0034120320,0.0308035503,0.1107340042,0.0413786758,0.0501140982,0.0050522123,0.0504903553,0.0062619261,0.1158638170,0.0022070203,0.0066425068,0.0103653284,10007146,4.9,17.1,60.9,14.7,2.074,10007146
10005343,Queen's University Belfast,0.0143144259,0.0443653690,0.1061392008,0.0848876923,0.0078253075,0.0028864304,0.0026266481,0.0069655587,0.0121523847,0.0245826044,0.0025592003,0.0087904317,0.0087667846,0.0464700758,0.0211111744,0.0646966500,0.0108253878,0.0104591259,0.0220049459,0.0107477584,0.0015036835,0.0345547007,0.0882369191,0.0162522160,0.0210914039,0.0408202495,0.0100362424,0.0037059885,0.0044335800,0.0676071689,0.0258469485,0.1129634649,0.0344749461,0.0065273364,0.0187679948,10005343,25.3,54.2,16.9,3.6,3.012,10005343
10007776,Roehampton University,0.0170749187,0.1460152295,0.0544938361,0.0049486566,0.0032506810,0.0043334967,0.0102271933,0.0472158102,0.0106123444,0.0045797553,0.0319012321,0.0056579841,0.0066743292,0.0997334918,0.0210331668,0.0779938300,0.0180469032,0.0465204115,0.0015755108,0.0072189765,0.0020667568,0.0041198049,0.0347145572,0.0064724916,0.0075362469,0.1083990167,0.0340497961,0.0114155970,0.0060279918,0.0346815895,0.0098231847,0.1136219586,0.0004713567,0.0064444876,0.0010474060,10007776,31,48.3,19,1.7,3.086,10007776
10007158,University of Southampton,0.0061553636,0.0492874782,0.1057907070,0.0136098623,0.0168909383,0.0044793630,0.0461694487,0.0065274769,0.0134797101,0.0056825434,0.0051010547,0.0014451562,0.0101680980,0.0558138790,0.0205983220,0.0248320055,0.0494939255,0.0095742082,0.0073112394,0.0103129302,0.0044882955,0.0472809236,0.1027648117,0.0159804075,0.0155617377,0.0585977347,0.0353522669,0.0348076939,0.0217542112,0.0566259706,0.0237007730,0.1038170694,0.0085320805,0.0061522244,0.0018600894,10007158,17.9,51.3,29.5,1.3,2.858,10007158
10007800,University of the West of Scotland,0.0297576067,0.0536645122,0.0656380139,0.0487582004,0.0019905590,0.0029639061,0.0010707170,0.0142453439,0.0046554353,0.0167825934,0.0004470524,0.0005204351,0.0201539806,0.0785360977,0.0320031612,0.0174208047,0.0269373748,0.0263621918,0.0070993354,0.0051460088,0.0073917935,0.0117958224,0.0560057968,0.0089068446,0.0557941216,0.0510824690,0.0453196830,0.0064685690,0.0083244825,0.0811878948,0.0068190535,0.1908607812,0.0024809479,0.0060793132,0.0073290965,10007800,6.4,44.7,44.6,4.3,2.532,10007800
10007811,Bishop Grosseteste University,0.0099086888,0.0614076806,0.0774861883,0.0019362599,0.0033237556,0.0011455542,0.0043348908,0.0075840618,0.0144772520,0.0054712876,0.0026949098,0.0028973076,0.0195975577,0.0268890390,0.0304304015,0.0619847300,0.0091835059,0.0243096744,0.0010279083,0.0140054082,0.0028945864,0.0094668013,0.0764463208,0.0229751724,0.0264299058,0.0641958390,0.0485721363,0.0261821119,0.0016672342,0.1288701153,0.0181553476,0.1815820286,0.0002258677,0.0057771845,0.0064632860,10007811,9.5,33.4,38.1,19,2.334,10007811
10006841,University of Bolton,0.0215676666,0.1273839150,0.1293023914,0.0021827017,0.0060669528,0.0012029577,0.0239815689,0.0002416487,0.0059647115,0.0072554317,0.0033324336,0.0033930518,0.1751862256,0.0644320229,0.0064603415,0.0050153807,0.0284430925,0.0220019245,0.0072037328,0.0036896780,0.0040367337,0.0069004221,0.0214527973,0.0050818010,0.0085742468,0.0718029998,0.0245687617,0.0355978904,0.0044634236,0.0762106782,0.0169804447,0.0694066230,0.0011060869,0.0054567452,0.0040525158,10006841,2.9,22.8,48.6,17.1,1.943,10006841
10003861,Leeds Beckett University,0.0080132760,0.0454651473,0.0766440235,0.0316043668,0.0007323960,0.0059187106,0.0005450460,0.0272931571,0.0155395410,0.0073623776,0.0040219025,0.0374133418,0.0112850285,0.0822405913,0.0241506403,0.0700827356,0.0140747206,0.0391400558,0.0020361275,0.0072782009,0.0042542283,0.0022810843,0.0167632328,0.0060134595,0.0213574284,0.0292261854,0.0726581369,0.0241505422,0.0044967285,0.1184729801,0.0011881103,0.1791715100,0.0020870667,0.0052769966,0.0017609231,10003861,6,18,52,22,2.04,10003861
10004930,Oxford Brookes University,0.0183877353,0.0820357782,0.0948414061,0.0084975105,0.0028206725,0.0075493646,0.0118394523,0.0111293299,0.0147483323,0.0096681577,0.0034222093,0.0079658404,0.0066220375,0.0621729832,0.0291135729,0.0172806154,0.0443855380,0.0287650432,0.0003430490,0.0154037953,0.0101767534,0.0094436207,0.0446281140,0.0150115148,0.0143456655,0.0524331022,0.0621058749,0.0211356659,0.0053245404,0.1260427651,0.0104940236,0.1444255359,0.0009545697,0.0052666622,0.0012191679,10004930,16.3,34.9,37.2,9.3,2.536,10004930
